pulled_at,pair,status,sell_at,take_profit_at,stop_loss_at,buy_at,bought_at,sold_at
2026-01-31T15:56:43+08:00,EUR/USD,Cancelled,,,,,,
2026-01-31T15:56:43+08:00,USD/CHF,Filled,,,,,,
2026-01-31T15:56:43+08:00,GBP/USD,Filled,,,,,,
2026-01-31T15:56:43+08:00,USD/JPY,Filled,,,,,,
2026-01-31T15:56:43+08:00,USD/CAD,Filled,,,,,,
2026-01-31T15:56:43+08:00,AUD/USD,Filled,,,,,,
2026-01-31T15:56:43+08:00,EUR/JPY,Filled,,,,,,
2026-01-31T15:56:43+08:00,NZD/USD,Filled,,,,,,
2026-01-31T15:56:43+08:00,GBP/CHF,Filled,,,,,,
2026-01-31T16:04:15+08:00,EUR/USD,Cancelled,1.1959,1.1924,1.2003,,,
2026-01-31T16:04:15+08:00,USD/CHF,Filled,,,,,0.7707,0.7677
2026-01-31T16:04:15+08:00,GBP/USD,Filled,,,,,1.3763,1.3744
2026-01-31T16:04:15+08:00,USD/JPY,Filled,,,,,154.21,154.59
2026-01-31T16:04:15+08:00,USD/CAD,Filled,,,,,1.3506,1.3545
2026-01-31T16:04:15+08:00,AUD/USD,Filled,,,,,0.7002,0.7019
2026-01-31T16:04:15+08:00,EUR/JPY,Filled,,,,,183.73,184.05
2026-01-31T16:04:15+08:00,NZD/USD,Filled,,,,,0.6054,0.6072
2026-01-31T16:04:15+08:00,GBP/CHF,Filled,,,,,1.0558,1.0581
2026-01-31T16:06:33+08:00,EUR/USD,Cancelled,1.1959,1.1924,1.2003,,,
2026-01-31T16:06:33+08:00,USD/CHF,Filled,,,,,0.7707,0.7677
2026-01-31T16:06:33+08:00,GBP/USD,Filled,,,,,1.3763,1.3744
2026-01-31T16:06:33+08:00,USD/JPY,Filled,,,,,154.21,154.59
2026-01-31T16:06:33+08:00,USD/CAD,Filled,,,,,1.3506,1.3545
2026-01-31T16:06:33+08:00,AUD/USD,Filled,,,,,0.7002,0.7019
2026-01-31T16:06:33+08:00,EUR/JPY,Filled,,,,,183.73,184.05
2026-01-31T16:06:33+08:00,NZD/USD,Filled,,,,,0.6054,0.6072
2026-01-31T16:06:33+08:00,GBP/CHF,Filled,,,,,1.0558,1.0581
2026-01-31T16:12:37+08:00,EUR/USD,Cancelled,1.1959,1.1924,1.2003,,,
2026-01-31T16:12:37+08:00,USD/CHF,Filled,,,,,0.7707,0.7677
2026-01-31T16:12:37+08:00,GBP/USD,Filled,,,,,1.3763,1.3744
2026-01-31T16:12:37+08:00,USD/JPY,Filled,,,,,154.21,154.59
2026-01-31T16:12:37+08:00,USD/CAD,Filled,,,,,1.3506,1.3545
2026-01-31T16:12:37+08:00,AUD/USD,Filled,,,,,0.7002,0.7019
2026-01-31T16:12:37+08:00,EUR/JPY,Filled,,,,,183.73,184.05
2026-01-31T16:12:37+08:00,NZD/USD,Filled,,,,,0.6054,0.6072
2026-01-31T16:12:37+08:00,GBP/CHF,Filled,,,,,1.0558,1.0581
